Question,Réponse1,Réponse2,Réponse3,Réponse4,Thème,Difficulté,Temps,Points,Bonne Réponse,Malus
Qui est la seule actrice à avoir remporté un Oscar pour un film entièrement en langue étrangère ?, Marion Cotillard, Penélope Cruz, Cate Blanchett, Sophia Loren,Cinéma,Difficile,20,2,4,-1
Quel film a remporté le plus grand nombre d'Oscars dans l'histoire ?, West Side Story, Le Seigneur des Anneaux : Le Retour du Roi, Autant en emporte le vent, La La Land,Cinéma,Difficile,20,2,2,-1
Quel acteur a été nominé le plus grand nombre de fois pour l'Oscar du meilleur acteur sans jamais le remporter ?, Peter O'Toole, Richard Burton, Leonardo DiCaprio, Gary Oldman,Cinéma,Difficile,20,2,1,-1
Quel est le premier long métrage d'animation réalisé par Pixar ?, Toy Story, Monstres et Cie, Le Monde de Nemo, Les Indestructibles,Cinéma,Difficile,20,2,1,-1
Qui est le réalisateur du film culte 2001: l'Odyssée de l'espace sorti en 1968 ?, Stanley Kubrick, Steven Spielberg, Martin Scorsese, Alfred Hitchcock,Cinéma,Difficile,20,2,1,-1
Quel est le film français le plus primé de l'histoire du Festival de Cannes ?, La Dolce Vita, Amour, Parasite, Pulp Fiction,Cinéma,Difficile,20,2,1,-1
Quel est le réalisateur du film 'Citizen Kane' considéré comme l'un des meilleurs films de tous les temps ?, Orson Welles, Martin Scorsese, Alfred Hitchcock, Stanley Kubrick,Cinéma,Difficile,20,2,1,-1
Quelle actrice a remporté le plus grand nombre d'Oscars du meilleur actrice dans l'histoire ?, Meryl Streep, Katharine Hepburn, Ingrid Bergman, Cate Blanchett,Cinéma,Difficile,20,2,2,-1
Quel est le nom du groupe de rock britannique connu pour des chansons telles que 'Stairway to Heaven' et 'Kashmir' ?, Led Zeppelin, The Beatles, Queen, AC/DC,Musique,Normal,20,2,1,-1
Quelle artiste pop est surnommée la 'Reine de la Pop' ?, Madonna, Britney Spears, Beyoncé, Taylor Swift,Musique,Normal,20,2,2,-1
Quel est le nom du groupe de rock américain célèbre pour leur album 'Appetite for Destruction' contenant le tube 'Sweet Child O' Mine' ?, Guns N' Roses, Metallica, Nirvana, Aerosmith,Musique,Normal,20,2,1,-1
Qui est le chanteur principal du groupe de rock légendaire Queen ?, Freddie Mercury, Mick Jagger, Bono, Axl Rose,Musique,Normal,20,2,1,-1
Quel est le nom du groupe de pop coréen qui a connu un succès mondial avec la chanson 'Gangnam Style' ?, BTS, EXO, BLACKPINK, Psy,Musique,Normal,20,2,4,-1
Quel artiste a sorti l'album 'Thriller' qui est l'album le plus vendu de tous les temps ?, Michael Jackson, Prince, Elton John, Madonna,Musique,Normal,20,2,1,-1
Quelle chanteuse américaine est connue pour ses tubes tels que 'Bad Romance' et 'Poker Face' ?, Lady Gaga, Rihanna, Katy Perry, Taylor Swift,Musique,Normal,20,2,1,-1
Quel est le nom du groupe de rock anglais formé par Mick Jagger et Keith Richards ?, The Rolling Stones, The Beatles, Queen, AC/DC,Musique,Normal,20,2,1,-1
Quelle chanteuse a sorti l'album '21' comprenant des succès comme 'Rolling in the Deep' et 'Someone Like You' ?, Adele, Beyoncé, Taylor Swift, Rihanna,Musique,Normal,20,2,1,-1
Quel est le nom du groupe suédois qui a connu un succès mondial dans les années 70 avec des chansons comme 'Dancing Queen' et 'Mamma Mia' ?, ABBA, Bee Gees, The Beatles, Queen,Musique,Normal,20,2,1,-1
